date,INSTRUMENT_1,INSTRUMENT_2,INSTRUMENT_3,INSTRUMENT_4,INSTRUMENT_5,INSTRUMENT_6,INSTRUMENT_7,INSTRUMENT_8,INSTRUMENT_9,INSTRUMENT_10
2017-01-03,196.68,112.72,49.97,29.81,96.29,96.91,110.47,91.52,4285.08,302.0
2017-01-04,197.85,113.32,50.53,30.04,96.66,97.02,110.86,92.63,4285.41,301.9
2017-01-05,197.71,113.93,50.96,30.36,98.21,97.69,112.59,93.6,4286.03,301.83
2017-01-06,198.39,114.93,50.79,30.24,97.29,97.22,111.76,93.44,4286.33,301.89
2017-01-09,197.78,115.32,50.71,30.21,98.1,97.61,112.69,90.47,4287.06,301.92
2017-01-10,197.76,115.57,50.72,30.39,98.04,97.57,113.17,88.55,4286.39,301.92
2017-01-11,198.27,115.86,50.98,30.75,98.35,97.68,113.52,90.94,4286.45,302.01
2017-01-12,197.8,115.69,51.05,30.89,98.13,97.74,113.94,92.31,4286.83,301.92
2017-01-13,198.23,116.07,51.25,30.86,97.66,97.52,114.25,91.28,4287.79,301.97
2017-01-17,197.56,115.74,51.05,30.84,98.68,98.04,115.88,91.44,4289.79,301.89
2017-01-18,197.96,115.97,50.91,30.67,97.39,97.31,114.9,89.27,4290.1,301.99
2017-01-19,197.24,115.92,50.78,30.58,96.71,96.91,114.8,89.35,4289.6,302.03
2017-01-20,197.97,116.16,51.07,30.64,96.55,96.96,115.08,91.1,4288.71,302.09
2017-01-23,197.47,116.26,51.2,31.09,97.51,97.5,115.82,90.54,4288.03,302.05
2017-01-24,198.74,117.05,51.33,31.29,96.82,97.11,115.31,90.96,4287.45,302.19
2017-01-25,200.45,118.25,51.86,31.63,95.68,96.61,114.36,90.48,4285.28,302.33
2017-01-26,200.24,118.38,51.65,31.5,95.94,96.75,113.29,92.25,4284.78,302.36
2017-01-27,199.94,118.6,51.57,31.52,96.28,96.86,113.53,91.21,4285.31,302.44
2017-01-30,198.68,117.67,51.2,31.35,95.99,96.83,114.01,90.24,4285.37,302.42
2017-01-31,198.67,117.43,51.28,31.41,96.65,97.19,115.59,90.56,4285.18,302.33
2017-02-01,198.75,118.25,51.48,31.42,96.07,97.0,115.24,91.84,4283.96,302.39
2017-02-02,198.87,118.14,51.51,31.56,96.03,97.03,115.89,92.07,4284.75,302.32
2017-02-03,200.24,118.48,51.72,31.75,95.99,97.11,116.18,92.31,4285.13,302.41
2017-02-06,199.92,118.63,51.35,31.68,96.58,97.6,117.75,91.04,4285.12,302.48
2017-02-07,199.93,119.05,51.29,31.52,97.28,97.78,117.52,89.52,4283.48,302.5
2017-02-08,200.16,119.25,51.38,31.71,98.63,98.18,118.24,89.85,4283.11,302.51
2017-02-09,201.35,119.68,51.59,31.85,97.47,97.59,117.34,90.79,4283.43,302.58
2017-02-10,202.15,120.07,51.72,32.15,97.4,97.52,117.66,92.0,4283.41,302.6
2017-02-13,203.26,120.74,51.92,32.25,97.08,97.37,116.85,90.55,4283.55,302.57
2017-02-14,204.09,121.17,51.84,32.28,96.4,96.99,116.98,91.03,4284.07,302.47
2017-02-15,205.12,121.9,52.04,32.54,95.98,96.79,117.5,90.87,4284.18,302.53
2017-02-16,204.97,121.87,52.16,32.42,96.47,97.2,118.13,91.27,4284.67,302.56
2017-02-17,205.29,122.41,52.02,32.29,97.02,97.48,117.72,91.1,4284.04,302.75
2017-02-21,206.54,123.01,52.19,32.64,96.84,97.43,117.8,92.29,4283.12,302.74
2017-02-22,206.34,123.06,52.19,32.74,97.01,97.6,117.97,90.86,4283.48,302.76
2017-02-23,206.49,122.63,52.3,32.75,97.32,97.88,119.01,92.22,4283.99,302.78
2017-02-24,206.73,122.85,51.92,32.36,98.42,98.33,119.77,91.65,4284.38,302.83
2017-02-27,207.05,122.99,51.95,32.26,97.84,97.99,119.2,91.73,4284.48,302.76
2017-02-28,206.52,122.61,51.88,31.95,98.2,97.93,119.31,91.56,4284.23,302.75
2017-03-01,209.39,123.95,52.42,32.45,96.54,97.2,119.14,91.17,4284.39,302.81
2017-03-02,208.11,123.32,52.07,31.87,96.18,96.91,117.67,89.32,4284.68,302.79
2017-03-03,208.24,123.54,52.38,32.12,96.45,97.01,117.6,90.28,4285.0,302.84
2017-03-06,207.59,123.28,52.22,32.14,95.98,96.99,116.81,90.2,4286.95,302.85
2017-03-07,206.95,123.08,52.04,32.17,95.71,96.84,115.87,90.13,4286.26,302.88
2017-03-08,206.59,123.28,51.85,31.86,95.2,96.53,115.15,85.33,4288.68,302.95
2017-03-09,206.84,123.37,52.05,31.61,94.44,96.27,114.56,84.21,4287.74,302.94
2017-03-10,207.58,123.92,52.49,31.97,94.76,96.47,114.81,82.29,4288.02,302.84
2017-03-13,207.7,124.13,52.77,32.41,94.16,96.24,114.83,82.23,4287.13,302.82
2017-03-14,206.89,123.82,52.37,32.22,94.62,96.34,114.21,81.51,4287.36,302.77
2017-03-15,208.71,124.6,53.12,33.07,95.77,97.18,116.35,83.03,4288.09,302.62
2017-03-16,208.32,124.51,53.37,33.27,95.3,96.9,116.83,82.87,4288.12,302.61
2017-03-17,207.94,124.47,53.51,33.21,95.88,97.17,117.09,82.62,4288.85,302.63
2017-03-20,207.71,124.59,53.39,33.59,96.29,97.42,117.61,82.15,4288.53,302.7
2017-03-21,205.01,122.7,53.15,33.22,97.07,97.76,118.64,80.86,4287.0,302.62
2017-03-22,205.51,123.51,53.16,33.39,97.48,97.96,118.93,80.94,4287.46,302.63
2017-03-23,205.26,123.22,53.29,33.39,97.33,97.85,118.77,80.07,4287.49,302.7
2017-03-24,205.11,123.45,53.43,33.48,97.7,97.91,118.96,80.71,4287.13,302.66
2017-03-27,204.89,123.65,53.57,33.38,98.15,98.15,119.63,80.3,4286.82,302.7
2017-03-28,206.43,124.43,53.83,33.47,97.49,97.81,119.15,81.2,4287.13,302.81
2017-03-29,206.59,125.01,53.83,33.53,98.09,98.08,119.44,82.98,4286.52,302.68
2017-03-30,207.25,125.2,53.64,33.35,97.28,97.81,118.57,84.58,4286.8,302.7
2017-03-31,206.76,125.1,53.56,33.12,97.57,98.01,118.83,85.15,4287.69,302.78
2017-04-03,206.42,125.03,53.48,33.31,98.56,98.5,119.46,84.43,4289.23,302.76
2017-04-04,206.54,125.23,53.47,33.32,98.04,98.36,119.73,85.72,4290.28,302.85
2017-04-05,205.94,124.72,53.18,33.22,98.33,98.55,119.73,85.47,4290.4,302.89
2017-04-06,206.53,124.79,53.19,33.16,98.23,98.49,119.29,86.9,4290.59,303.01
2017-04-07,206.34,124.72,53.15,33.1,97.79,98.17,119.57,87.72,4290.29,303.05
2017-04-10,206.45,124.75,53.09,32.97,98.24,98.36,119.57,89.15,4289.94,303.18
2017-04-11,206.2,124.2,53.34,32.89,99.16,98.8,121.3,89.4,4290.6,303.2
2017-04-12,205.27,123.7,53.3,33.05,99.7,99.1,122.14,88.92,4290.37,303.11
2017-04-13,203.97,123.23,52.96,32.91,100.0,99.39,122.72,89.08,4290.64,303.06
2017-04-17,205.78,124.25,53.28,33.25,99.7,99.23,122.36,88.52,4289.92,303.13
2017-04-18,205.11,124.06,53.04,32.83,101.0,99.8,122.94,88.36,4290.94,303.2
2017-04-19,204.73,124.25,52.83,32.63,100.45,99.53,121.84,85.0,4290.7,303.18
2017-04-20,206.42,125.3,53.25,33.03,100.06,99.32,122.07,84.36,4291.52,303.3
2017-04-21,205.77,125.27,53.29,33.03,100.06,99.36,122.41,82.6,4290.99,303.28
2017-04-24,208.04,126.78,54.63,33.5,99.56,99.16,121.58,82.04,4290.42,303.31
2017-04-25,209.22,127.68,55.02,33.8,98.39,98.67,120.35,82.91,4291.42,303.34
2017-04-26,209.08,127.51,54.87,33.67,98.94,98.9,120.94,82.13,4290.95,303.25
2017-04-27,209.28,128.28,54.92,33.63,98.95,98.97,120.49,81.97,4289.78,303.24
2017-04-28,208.8,128.53,54.86,33.69,99.11,99.08,120.87,81.97,4289.0,303.4
2017-05-01,209.35,129.65,55.08,33.88,98.3,98.86,119.77,81.25,4289.64,303.34
2017-05-02,209.43,129.87,55.37,34.12,98.8,99.07,119.75,79.4,4290.21,303.38
2017-05-03,209.15,129.44,55.25,33.89,98.87,98.86,118.08,79.49,4289.64,303.3
2017-05-04,209.42,129.48,55.77,33.52,98.38,98.66,116.88,75.72,4289.16,303.24
2017-05-05,210.24,129.95,56.39,33.8,98.48,98.68,117.1,77.33,4289.67,303.14
2017-05-08,210.2,130.24,55.97,33.79,97.94,98.45,116.85,77.4,4290.65,303.21
2017-05-09,210.0,130.69,55.83,34.21,97.94,98.33,116.14,76.61,4290.6,303.15
2017-05-10,210.38,130.76,55.92,34.44,97.81,98.29,116.14,78.94,4291.02,303.24
2017-05-11,209.95,130.64,55.78,34.52,97.81,98.37,116.6,79.58,4291.67,303.2
2017-05-12,209.6,130.92,56.09,34.66,98.54,98.84,116.93,79.66,4293.28,303.21
2017-05-15,210.74,131.31,56.37,35.01,98.27,98.79,117.25,81.43,4292.42,303.24
2017-05-16,210.54,131.86,56.73,35.04,98.65,98.89,117.76,80.94,4291.92,303.13
2017-05-17,206.81,128.53,56.09,34.44,100.06,99.68,119.9,81.59,4291.54,303.14
2017-05-18,207.66,129.64,56.19,33.87,100.17,99.66,118.92,82.16,4292.16,303.16
2017-05-19,208.96,130.2,56.84,34.6,100.37,99.63,119.51,83.91,4291.97,303.24
2017-05-22,210.05,131.26,56.91,34.63,100.12,99.51,120.0,84.38,4292.2,303.18
2017-05-23,210.48,131.4,56.92,34.67,99.46,99.26,119.24,85.19,4292.29,303.12
2017-05-24,210.96,132.0,56.95,34.79,100.02,99.45,119.72,84.87,4292.29,303.17
2017-05-25,212.0,133.12,56.95,34.96,100.05,99.51,119.58,80.39,4292.37,303.26
2017-05-26,211.95,133.36,56.78,35.09,100.22,99.57,120.64,82.32,4293.14,303.22
2017-05-30,211.75,133.47,56.72,34.91,100.73,99.83,120.24,81.99,4292.42,303.14
2017-05-31,211.73,133.42,56.79,34.64,100.97,99.88,120.72,79.75,4292.31,303.12
2017-06-01,213.39,133.93,57.16,34.94,100.98,99.82,120.83,79.35,4291.4,303.05
2017-06-02,214.11,135.49,57.78,35.12,102.21,100.24,121.72,78.95,4291.57,303.07
2017-06-05,213.95,135.46,57.47,35.08,101.56,100.1,121.84,78.49,4291.42,303.0
2017-06-06,213.25,134.92,57.3,35.09,102.01,100.39,123.21,79.85,4292.22,303.07
2017-06-07,213.63,135.44,57.31,35.05,101.63,100.22,122.56,75.78,4292.22,303.08
2017-06-08,213.74,135.58,57.21,35.26,101.34,100.06,121.75,75.56,4291.88,303.15
2017-06-09,213.43,132.15,56.99,34.99,101.17,99.99,120.64,76.04,4291.7,302.98
2017-06-12,213.36,131.47,56.78,34.81,101.13,99.97,120.47,76.28,4292.99,302.86
2017-06-13,214.42,132.53,57.22,34.98,101.14,100.0,120.59,76.92,4291.81,302.95
2017-06-14,214.14,131.94,57.18,34.97,102.72,100.49,119.93,73.95,4291.34,302.9
2017-06-15,213.72,131.37,56.59,34.61,102.57,100.32,119.43,73.53,4291.37,302.8
2017-06-16,213.76,130.82,57.07,34.67,102.77,100.38,119.44,74.02,4290.9,302.79
2017-06-19,215.52,132.98,57.3,35.01,102.64,100.13,118.54,73.05,4291.26,302.81
2017-06-20,214.08,131.92,56.85,34.63,103.53,100.36,118.3,71.69,4291.22,302.8
2017-06-21,214.04,133.24,56.77,34.7,103.74,100.35,118.65,69.77,4291.41,302.83
2017-06-22,213.94,133.19,56.76,34.88,103.98,100.42,119.05,70.33,4291.5,302.85
2017-06-23,214.2,133.7,56.9,35.07,103.93,100.45,119.57,70.97,4291.42,302.87
2017-06-26,214.34,133.05,56.99,35.4,104.3,100.54,118.5,71.54,4290.46,302.96
2017-06-27,212.57,130.65,56.98,34.99,103.21,100.07,118.95,72.91,4290.59,302.96
2017-06-28,214.52,132.52,57.48,35.26,102.87,99.99,119.04,73.72,4289.27,302.96
2017-06-29,212.6,130.24,56.92,34.81,102.02,99.61,118.46,73.79,4288.77,303.01
2017-06-30,213.02,130.28,56.95,34.97,101.8,99.38,118.16,76.12,4289.13,303.05
2017-07-03,213.4,128.94,56.88,35.17,101.47,99.02,116.23,77.07,4290.02,302.99
2017-07-05,213.91,130.16,56.88,35.1,101.49,99.11,116.65,74.1,4291.78,302.98
2017-07-06,211.97,129.0,56.62,34.68,100.59,98.9,116.6,74.58,4291.46,303.01
2017-07-07,213.31,130.38,56.63,34.74,100.02,98.76,115.41,72.91,4290.81,302.97
2017-07-10,213.54,131.21,56.77,35.07,100.16,98.87,115.6,73.15,4291.2,302.93
2017-07-11,213.37,131.58,56.9,35.36,100.32,99.01,115.75,74.27,4292.6,302.84
2017-07-12,214.96,133.15,57.36,36.04,101.04,99.3,116.17,74.75,4293.75,302.64
2017-07-13,215.29,133.45,57.52,36.22,100.37,99.19,115.97,75.87,4292.97,302.62
2017-07-14,216.35,134.5,57.92,36.68,100.51,99.33,116.92,76.84,4292.87,302.63
2017-07-17,216.32,134.58,57.81,36.51,100.8,99.44,117.44,75.72,4293.51,302.55
2017-07-18,216.42,135.48,57.87,36.62,101.7,99.82,118.27,76.43,4294.2,302.65
2017-07-19,217.56,136.26,58.12,36.92,101.75,99.82,118.24,77.62,4294.64,302.57
2017-07-20,217.64,136.44,58.35,36.88,102.03,99.85,118.4,76.99,4294.3,302.64
2017-07-21,217.48,136.37,58.12,36.86,102.49,100.03,119.44,74.82,4294.74,302.67
2017-07-24,217.45,136.97,57.96,36.97,102.07,99.97,119.49,76.1,4295.44,302.81
2017-07-25,218.0,136.63,58.04,36.88,100.73,99.39,119.09,78.59,4294.74,302.85
2017-07-26,218.01,137.07,58.4,37.18,100.88,99.71,120.05,79.79,4295.73,302.75
2017-07-27,217.79,136.19,58.27,36.98,100.37,99.55,119.96,80.59,4296.48,302.82
2017-07-28,217.52,136.09,58.33,36.96,100.98,99.72,120.86,81.48,4295.92,302.94
2017-07-31,217.41,135.53,58.46,37.0,101.1,99.75,120.92,82.35,4296.61,302.82
2017-08-01,217.87,135.85,58.78,37.11,101.85,100.01,120.84,80.83,4297.22,302.86
2017-08-02,217.98,136.2,58.81,37.15,101.9,99.92,120.59,81.22,4297.86,302.92
2017-08-03,217.55,135.71,58.84,37.0,102.94,100.24,120.78,80.27,4299.04,302.91
2017-08-04,217.94,135.95,58.92,37.13,102.06,99.98,119.83,81.17,4299.03,302.74
2017-08-07,218.37,136.77,58.94,37.38,102.19,100.04,119.69,80.93,4299.28,302.72
2017-08-08,217.81,136.55,58.63,37.39,101.82,99.97,120.05,80.6,4297.3,302.68
2017-08-09,217.8,136.37,58.53,37.06,102.37,100.08,121.49,81.33,4298.14,302.79
2017-08-10,214.72,133.48,57.7,36.18,103.23,100.43,122.39,79.39,4298.91,302.78
2017-08-11,215.03,134.51,57.59,36.27,103.27,100.54,122.97,80.04,4299.92,302.75
2017-08-14,217.16,136.22,58.01,36.64,102.75,100.3,122.09,77.87,4299.22,302.71
2017-08-15,217.13,136.32,57.97,36.68,102.33,100.03,121.15,78.12,4299.94,302.73
2017-08-16,217.53,136.57,58.3,37.06,102.69,100.21,122.04,76.69,4300.71,302.74
2017-08-17,214.15,133.79,57.65,36.58,103.4,100.54,122.66,77.08,4300.22,302.68
2017-08-18,213.83,133.68,57.81,36.89,103.42,100.51,122.46,79.89,4123.67,294.64
2017-08-19,213.82,133.69,57.8,36.89,103.42,100.51,122.46,79.89,4155.74,291.55
2017-08-20,213.81,133.69,57.8,36.89,103.42,100.51,122.45,79.88,4100.61,299.59
2017-08-21,213.97,133.52,57.79,37.02,103.68,100.62,122.91,77.81,4030.49,323.86
2017-08-22,216.19,135.56,58.07,37.44,103.29,100.44,122.36,78.28,4054.04,310.39
2017-08-23,215.41,135.1,58.08,37.62,103.99,100.79,122.82,79.17,4127.12,316.35
