date,INSTRUMENT_1_vol,INSTRUMENT_2_vol,INSTRUMENT_3_vol,INSTRUMENT_4_vol,INSTRUMENT_5_vol,INSTRUMENT_6_vol,INSTRUMENT_7_vol,INSTRUMENT_8_vol,INSTRUMENT_9_vol,INSTRUMENT_10_vol
2017-01-03,104295938,21702365,31368597,80644865,15086731,3813373,7761916,4322207,0,0
2017-01-04,98727275,16544270,30654856,98880894,8022393,1627154,4656791,2292779,0,0
2017-01-05,96566373,18301731,25091271,70038101,16694891,3784244,10153154,2634431,0,0
2017-01-06,80944775,23197256,26329515,42522230,9575889,1617186,8311165,2066255,0,0
2017-01-09,54386881,17323841,15168291,37682598,9779728,1345935,5508510,2583137,0,0
2017-01-10,69793549,15334975,19819633,55204393,9894026,1575557,6953185,3064846,0,0
2017-01-11,86902821,19240050,38078014,107787044,11534612,2041868,10857382,4315750,0,0
2017-01-12,80712482,20394008,27274348,45058004,12936414,1714372,8550879,3471503,0,0
2017-01-13,67091616,15382188,23182974,41655480,10387546,1910125,7257003,2056834,0,0
2017-01-17,71051843,13845856,26262312,47770011,8645283,1908327,9517144,2146685,0,0
2017-01-18,58024169,10675500,17795452,47251816,9844036,3947933,5972413,3629480,0,0
2017-01-19,68558717,13421215,20342790,59371918,13413145,1980570,6569521,1924832,0,0
2017-01-20,131552017,19961022,30254480,68523320,15566000,1378768,12010241,3239633,0,0
2017-01-23,90364997,16565344,53072633,59588744,15127426,1897377,6480931,1820211,0,0
2017-01-24,107424180,15814825,22148857,56359833,7992165,1425503,5302911,1895374,0,0
2017-01-25,93789345,14234582,30292099,49321102,11100825,1910958,6706755,2372246,0,0
2017-01-26,66569770,14554431,25173149,51455940,10325209,2351962,5506777,2672507,0,0
2017-01-27,71581364,12141054,14408995,35939633,7743497,2283527,6722308,2253144,0,0
2017-01-30,95084464,22971382,23941842,41934025,7577385,1987634,8266558,2046065,0,0
2017-01-31,87439182,18124868,34339529,76610680,15436573,1567261,9563957,2385243,0,0
2017-02-01,93668058,18904471,29435180,63441799,13581017,2150443,7297422,2435971,0,0
2017-02-02,78830385,13236230,18444606,30760179,7214138,1411255,7155297,2405465,0,0
2017-02-03,97639432,17639053,17068191,38828477,11780729,1770577,8921824,2453182,0,0
2017-02-06,66585333,12017479,17320023,36975428,9396023,1572560,7727167,3149681,0,0
2017-02-07,62486639,15939912,13982553,39195670,9824548,1742804,8775634,4500286,0,0
2017-02-08,62452793,12734757,20403787,46044956,17720840,3442612,10443942,3353387,0,0
2017-02-09,69989283,17374318,17137985,45018117,17943285,1539143,7984721,2364127,0,0
2017-02-10,77048468,15182854,15401645,40391026,10505405,1702002,9144196,3341255,0,0
2017-02-13,63242809,15127193,16668259,41707637,8636901,1231821,6956571,2670485,0,0
2017-02-14,81895698,14174686,15388923,70969751,12944152,2751985,7378456,2292250,0,0
2017-02-15,109132636,17015566,19357087,61891524,10037974,2983678,6841638,2322056,0,0
2017-02-16,96908698,13791605,17566920,49864750,11287776,2929009,5953162,1741770,0,0
2017-02-17,81533857,14010885,16608762,67151861,8593081,2377106,7017839,1849766,0,0
2017-02-21,93684557,16619501,14192635,52932590,9535398,3038527,6413010,3304024,0,0
2017-02-22,67453508,11277187,20472163,45497583,9119539,3002427,6293500,2149967,0,0
2017-02-23,82794361,17724371,13658054,58101811,6612669,2029685,7914806,2291062,0,0
2017-02-24,93991032,17664377,20175314,53761015,13491891,2791489,10628699,1404198,0,0
2017-02-27,65141398,12235347,17950914,62330330,9416599,3658416,8594168,1152703,0,0
2017-02-28,120273265,13625813,22317809,87667561,9255347,2629249,9293123,2247564,0,0
2017-03-01,159772895,21877824,23854513,106132721,12165168,2558355,9340044,1817715,0,0
2017-03-02,85733168,19104694,19314620,73488321,10388951,2357435,10179237,2676921,0,0
2017-03-03,91279065,11377166,22676362,61647090,10774908,2753553,10399545,1732919,0,0
2017-03-06,64979111,10444974,12869848,35478487,5267424,1614067,4848672,1888172,0,0
2017-03-07,77328889,14196027,18802294,51074436,6713726,1734657,6537899,1459536,0,0
2017-03-08,90779100,15059974,12774528,71937699,14531264,2783281,7674890,8047487,0,0
2017-03-09,103043777,19340847,15351144,78620915,11199764,2537482,6373287,5756858,0,0
2017-03-10,89824886,18269357,20542372,51883455,9264535,1461780,8030407,5711240,0,0
2017-03-13,68612683,10421248,22160797,50151662,8889333,1423344,5287760,4640638,0,0
2017-03-14,65434300,14069065,18672420,71646907,12292714,993092,5201368,5578887,0,0
2017-03-15,110097321,23635507,27342868,154113403,18382159,3943639,12508715,4251043,0,0
2017-03-16,90212890,21115910,27358501,150991601,9353963,2869639,9824158,2620689,0,0
2017-03-17,105604627,16836515,21931725,77942769,8087900,1288025,4507142,2318012,0,0
2017-03-20,55011954,10283790,17211630,82154730,6476836,1430745,3984637,1795636,0,0
2017-03-21,159737055,39482188,26522836,84681249,15982295,1597759,8840614,3121512,0,0
2017-03-22,107969029,32511460,17300465,92130818,14017308,2421161,7400057,2924503,0,0
2017-03-23,108180504,20734717,29735906,67624463,7743574,2622510,6429479,2174732,0,0
2017-03-24,126820151,22448999,31383331,77500296,6599397,2960334,6956832,2082835,0,0
2017-03-27,95980627,19052909,36685844,63480780,7734930,2910356,8071998,2790533,0,0
2017-03-28,108929515,20782648,28335548,55817376,7346028,1424312,7201108,2287375,0,0
2017-03-29,71455651,12614503,20565875,43155948,7323680,2170616,4643132,3008063,0,0
2017-03-30,60690193,16419797,18781501,38931305,8609452,1606518,6930791,3513605,0,0
2017-03-31,89284886,19612651,33948633,107384897,5632090,1928725,8518544,2360596,0,0
2017-04-03,90932803,25247688,37213344,71315908,13892259,4292687,6091948,1940331,0,0
2017-04-04,66458761,12253071,19269325,51827436,7068747,1504012,4643922,3019690,0,0
2017-04-05,129135940,29330779,26589098,53620810,9808790,2863673,7763662,3613892,0,0
2017-04-06,82842840,20629838,20598410,43236849,6015222,1693230,4488970,3170509,0,0
2017-04-07,89052811,16727294,20563710,45734699,12480788,1192875,12260671,2395271,0,0
2017-04-10,75023070,13402921,13589738,39126719,6295680,1882485,4446348,2624209,0,0
2017-04-11,107759817,35376243,23233382,50899631,12735945,2487015,12166066,3028200,0,0
2017-04-12,95818450,16068368,27576065,68132376,11549154,2433259,9955709,3059266,0,0
2017-04-13,101466047,25098767,19711434,55570037,9883522,1922861,9317473,2122386,0,0
2017-04-17,82616739,12002830,17262521,33345741,7458802,1256403,8576644,1919657,0,0
2017-04-18,101789091,12665463,23265992,61607244,13682642,1819222,11454531,1820461,0,0
2017-04-19,78867444,18957269,14327278,82798759,7508889,1832293,8224485,6947797,0,0
2017-04-20,102291971,18819984,24496429,53531984,9569096,1881149,12906014,3379669,0,0
2017-04-21,117945974,18943725,21885994,34223909,7229807,2987085,15395409,4655085,0,0
2017-04-24,137857261,23529839,41219352,72238875,10259202,3589485,11452376,3271021,0,0
2017-04-25,86534897,18254118,29089317,62014733,10463187,2294217,11129172,2940364,0,0
2017-04-26,93550489,27503975,22215781,63981385,7318799,1368629,9935976,3213353,0,0
2017-04-27,58966419,17794376,15548544,49644195,5934178,2197659,8401649,4363045,0,0
2017-04-28,73953044,25965164,29938131,63932021,10217729,5858830,8221399,1807836,0,0
2017-05-01,74813891,27400558,24616624,45538618,10390024,2129662,9304058,1926629,0,0
2017-05-02,65564616,18267393,24503192,67629483,8929747,1695305,4964911,5447170,0,0
2017-05-03,88217465,27475434,14568818,65391733,11752901,2049755,11279867,4416290,0,0
2017-05-04,69920696,15191663,21249401,99000662,10672824,1329092,12631242,8566096,0,0
2017-05-05,67297820,21049223,20925061,60822085,7236592,1078757,7138396,4441106,0,0
2017-05-08,50868091,14424183,24811446,44005179,10053741,4933863,5636034,3902467,0,0
2017-05-09,62923617,28375843,30659050,83959323,6501938,1480605,7141964,2419098,0,0
2017-05-10,62023778,22969686,22843578,59523860,7998275,1129036,4381290,4078057,0,0
2017-05-11,66249332,27282201,21217898,41693796,8646331,1145289,6580251,2538486,0,0
2017-05-12,67663949,18700644,32573581,75456413,8518186,2282594,5348666,2500218,0,0
2017-05-15,66350315,22916097,24876871,54709192,5887215,759552,4848558,4752759,0,0
2017-05-16,59242785,22403937,25007624,49277641,8646424,1539862,5137525,2102481,0,0
2017-05-17,211838864,60044211,35475145,73307043,14063013,6415020,14065334,3363624,0,0
2017-05-18,116622355,41584669,22555960,142627481,10815028,1940271,9713280,2560920,0,0
2017-05-19,133146044,38133047,40963066,71440868,10698365,3519244,6835600,3083472,0,0
2017-05-22,72372188,19515628,16803615,56479671,5004326,1427012,5007027,2989080,0,0
2017-05-23,59333418,20609456,13273144,47152651,10581325,3180066,8120820,3230645,0,0
2017-05-24,51394899,16432949,17488263,60253627,8932926,1881458,7079828,3983912,0,0
2017-05-25,68595257,25687970,14582120,44552044,7701283,1562201,3747271,10226179,0,0
2017-05-26,58166323,14345411,31007443,37108281,3633267,1107238,6243509,3915839,0,0
2017-05-30,40991760,19619060,16838369,44543178,5871863,2386365,4185852,2027146,0,0
2017-05-31,100769524,31753784,36462025,92015435,9545365,2034947,9427081,3803971,0,0
2017-06-01,76259933,21566461,30156424,52911071,10782178,1902773,8723626,3822445,0,0
2017-06-02,105617434,39448472,26330782,51322382,15767426,1843776,7158845,3924728,0,0
2017-06-05,50435905,18117660,17232135,48287909,8700889,1476477,4251802,3541553,0,0
2017-06-06,56196252,21586342,13075002,39456202,15474017,2075661,11177705,3388622,0,0
2017-06-07,61988615,20945231,18075631,40409830,15218295,1988031,10882054,7760314,0,0
2017-06-08,76474689,26726264,18612426,57712440,10223798,4244081,8417009,5060375,0,0
2017-06-09,150293473,113576111,23333168,86431025,6780694,1278155,7181046,3149945,0,0
2017-06-12,98383643,107620325,22182768,61909824,5318693,815760,5018669,3421293,0,0
2017-06-13,62766348,57466984,22113881,42146216,5458275,761713,3457649,3275239,0,0
2017-06-14,86112766,60434808,21256400,86123714,24485597,4066241,20852012,7797163,0,0
2017-06-15,72065964,61129293,25509348,106788941,7220340,2096331,6941458,4217523,0,0
2017-06-16,103037730,46503832,26979316,62542285,8786036,3887170,5856808,2614822,0,0
2017-06-19,76889269,43770645,30010814,77799038,6902900,1226977,7583404,3028079,0,0
2017-06-20,66761528,43544004,29140226,85822269,9999200,1373379,4859556,6052801,0,0
2017-06-21,63829310,37644906,12261347,69166855,6409394,1250030,4749252,8451032,0,0
2017-06-22,50318007,25524273,16834240,56309186,7853431,1291443,5885880,3890035,0,0
2017-06-23,77694470,22011898,17526590,54448352,5448750,1668911,8698254,4006829,0,0
2017-06-26,59969299,36125126,24737015,51460594,6288414,3681587,6681594,4538583,0,0
2017-06-27,104274724,69286230,18482435,66231088,9200471,1755829,5875289,3384030,0,0
2017-06-28,79543948,63959649,29187796,39710567,8087521,1581066,4051979,3814431,0,0
2017-06-29,123461048,97845654,42006393,77348560,10889242,2241694,7369910,3736572,0,0
2017-06-30,100203729,74892410,32869959,83502410,12685635,2046627,6959621,3861137,0,0
2017-07-03,44109372,34162521,10877561,46373777,13942737,1296829,12673232,2497402,0,0
2017-07-05,56600561,46272672,30676337,62064680,14195759,12537405,7147636,8959951,0,0
2017-07-06,77406275,53223701,27788754,49999900,13270113,1867423,4346530,5168482,0,0
2017-07-07,63126350,36152579,23263967,79274727,11460055,2134650,10804216,5336526,0,0
2017-07-10,37892873,25563873,11940431,45528352,4502977,1365494,4432685,3445508,0,0
2017-07-11,56552142,32162379,15392807,52646303,5267157,1250048,7010202,2805435,0,0
2017-07-12,62136845,39505474,18734153,96011791,9096476,2653842,4342329,4792460,0,0
2017-07-13,43885248,33147663,26066985,45605238,9187784,2279211,3928692,2624130,0,0
2017-07-14,67121540,36771508,15889503,60175122,7578577,1443338,6346715,2991068,0,0
2017-07-17,36144157,23843863,12710416,52287287,5661814,1384534,5072714,3585030,0,0
2017-07-18,51377853,28842555,14141837,56957386,11156980,1695753,7130349,3378505,0,0
2017-07-19,59783520,37526072,14337518,47776720,6310292,2792200,3332583,3258507,0,0
2017-07-20,54334950,39280374,16023922,43594580,15992166,2423299,5700700,2474123,0,0
2017-07-21,97429207,42084793,20460779,41591721,7743691,1971006,9162357,4935318,0,0
2017-07-24,49806992,28084006,19483157,47329908,6021776,2388507,3462752,2498722,0,0
2017-07-25,58459542,29015745,13500764,45007139,11684588,2502321,6371175,3667179,0,0
2017-07-26,49650172,17547182,19922489,57838321,10219410,3312722,8443326,5101264,0,0
2017-07-27,75895820,76719947,16864776,69792943,7254428,1997769,5908895,3392932,0,0
2017-07-28,59142905,42334457,17432314,52164038,6388718,1044472,8130114,4111447,0,0
2017-07-31,75228531,34284008,24902519,70423229,6801644,1012718,3842690,4100768,0,0
2017-08-01,66450550,20508998,20218854,42053040,11480523,2252334,7932359,5401425,0,0
2017-08-02,53783375,42177799,10594720,33241251,6579921,1928097,6425038,3292571,0,0
2017-08-03,49372486,26613321,12092062,52786604,12626329,1741280,4130065,3135124,0,0
